group,rollout,t,K,side,move,is_last
baseline[good=above],baseline/0,0,10,bad,toward_good,False
baseline[good=above],baseline/0,1,10,bad,toward_good,False
baseline[good=above],baseline/0,2,10,bad,toward_good,False
baseline[good=above],baseline/0,3,10,bad,toward_bad,False
baseline[good=above],baseline/0,4,10,bad,toward_bad,False
baseline[good=above],baseline/0,5,10,bad,toward_good,False
baseline[good=above],baseline/0,6,10,bad,toward_bad,False
baseline[good=above],baseline/0,7,10,bad,toward_bad,False
baseline[good=above],baseline/0,8,10,bad,toward_good,False
baseline[good=above],baseline/0,9,10,bad,,True
baseline[good=below],baseline/0,0,10,good,toward_bad,False
baseline[good=below],baseline/0,1,10,good,toward_bad,False
baseline[good=below],baseline/0,2,10,good,toward_bad,False
baseline[good=below],baseline/0,3,10,good,toward_good,False
baseline[good=below],baseline/0,4,10,good,toward_good,False
baseline[good=below],baseline/0,5,10,good,toward_bad,False
baseline[good=below],baseline/0,6,10,good,toward_good,False
baseline[good=below],baseline/0,7,10,good,toward_good,False
baseline[good=below],baseline/0,8,10,good,toward_bad,False
baseline[good=below],baseline/0,9,10,good,,True
baseline[good=above],baseline/1,0,16,bad,toward_good,False
baseline[good=above],baseline/1,1,16,bad,same,False
baseline[good=above],baseline/1,2,16,bad,toward_good,False
baseline[good=above],baseline/1,3,16,bad,toward_bad,False
baseline[good=above],baseline/1,4,16,bad,toward_bad,False
baseline[good=above],baseline/1,5,16,bad,toward_good,False
baseline[good=above],baseline/1,6,16,bad,toward_good,False
baseline[good=above],baseline/1,7,16,bad,same,False
baseline[good=above],baseline/1,8,16,bad,toward_bad,False
baseline[good=above],baseline/1,9,16,bad,toward_good,False
baseline[good=above],baseline/1,10,16,bad,toward_bad,False
baseline[good=above],baseline/1,11,16,bad,toward_good,False
baseline[good=above],baseline/1,12,16,bad,toward_good,False
baseline[good=above],baseline/1,13,16,bad,toward_bad,False
baseline[good=above],baseline/1,14,16,bad,toward_good,False
baseline[good=above],baseline/1,15,16,bad,,True
baseline[good=below],baseline/1,0,16,good,toward_bad,False
baseline[good=below],baseline/1,1,16,good,same,False
baseline[good=below],baseline/1,2,16,good,toward_bad,False
baseline[good=below],baseline/1,3,16,good,toward_good,False
baseline[good=below],baseline/1,4,16,good,toward_good,False
baseline[good=below],baseline/1,5,16,good,toward_bad,False
baseline[good=below],baseline/1,6,16,good,toward_bad,False
baseline[good=below],baseline/1,7,16,good,same,False
baseline[good=below],baseline/1,8,16,good,toward_good,False
baseline[good=below],baseline/1,9,16,good,toward_bad,False
baseline[good=below],baseline/1,10,16,good,toward_good,False
baseline[good=below],baseline/1,11,16,good,toward_bad,False
baseline[good=below],baseline/1,12,16,good,toward_bad,False
baseline[good=below],baseline/1,13,16,good,toward_good,False
baseline[good=below],baseline/1,14,16,good,toward_bad,False
baseline[good=below],baseline/1,15,16,good,,True
baseline[good=above],baseline/2,0,12,bad,toward_good,False
baseline[good=above],baseline/2,1,12,bad,toward_bad,False
baseline[good=above],baseline/2,2,12,bad,toward_good,False
baseline[good=above],baseline/2,3,12,bad,toward_bad,False
baseline[good=above],baseline/2,4,12,bad,toward_good,False
baseline[good=above],baseline/2,5,12,bad,toward_bad,False
baseline[good=above],baseline/2,6,12,bad,toward_good,False
baseline[good=above],baseline/2,7,12,bad,toward_bad,False
baseline[good=above],baseline/2,8,12,bad,toward_bad,False
baseline[good=above],baseline/2,9,12,bad,toward_good,False
baseline[good=above],baseline/2,10,12,bad,toward_bad,False
baseline[good=above],baseline/2,11,12,bad,,True
baseline[good=below],baseline/2,0,12,good,toward_bad,False
baseline[good=below],baseline/2,1,12,good,toward_good,False
baseline[good=below],baseline/2,2,12,good,toward_bad,False
baseline[good=below],baseline/2,3,12,good,toward_good,False
baseline[good=below],baseline/2,4,12,good,toward_bad,False
baseline[good=below],baseline/2,5,12,good,toward_good,False
baseline[good=below],baseline/2,6,12,good,toward_bad,False
baseline[good=below],baseline/2,7,12,good,toward_good,False
baseline[good=below],baseline/2,8,12,good,toward_good,False
baseline[good=below],baseline/2,9,12,good,toward_bad,False
baseline[good=below],baseline/2,10,12,good,toward_good,False
baseline[good=below],baseline/2,11,12,good,,True
baseline[good=above],baseline/3,0,15,bad,toward_good,False
baseline[good=above],baseline/3,1,15,bad,toward_good,False
baseline[good=above],baseline/3,2,15,bad,toward_bad,False
baseline[good=above],baseline/3,3,15,bad,toward_good,False
baseline[good=above],baseline/3,4,15,bad,toward_bad,False
baseline[good=above],baseline/3,5,15,bad,toward_good,False
baseline[good=above],baseline/3,6,15,bad,toward_bad,False
baseline[good=above],baseline/3,7,15,bad,toward_bad,False
baseline[good=above],baseline/3,8,15,bad,toward_good,False
baseline[good=above],baseline/3,9,15,bad,toward_bad,False
baseline[good=above],baseline/3,10,15,bad,toward_good,False
baseline[good=above],baseline/3,11,15,bad,toward_good,False
baseline[good=above],baseline/3,12,15,bad,toward_bad,False
baseline[good=above],baseline/3,13,15,bad,toward_good,False
baseline[good=above],baseline/3,14,15,bad,,True
baseline[good=below],baseline/3,0,15,good,toward_bad,False
baseline[good=below],baseline/3,1,15,good,toward_bad,False
baseline[good=below],baseline/3,2,15,good,toward_good,False
baseline[good=below],baseline/3,3,15,good,toward_bad,False
baseline[good=below],baseline/3,4,15,good,toward_good,False
baseline[good=below],baseline/3,5,15,good,toward_bad,False
baseline[good=below],baseline/3,6,15,good,toward_good,False
baseline[good=below],baseline/3,7,15,good,toward_good,False
baseline[good=below],baseline/3,8,15,good,toward_bad,False
baseline[good=below],baseline/3,9,15,good,toward_good,False
baseline[good=below],baseline/3,10,15,good,toward_bad,False
baseline[good=below],baseline/3,11,15,good,toward_bad,False
baseline[good=below],baseline/3,12,15,good,toward_good,False
baseline[good=below],baseline/3,13,15,good,toward_bad,False
baseline[good=below],baseline/3,14,15,good,,True
baseline[good=above],baseline/4,0,21,bad,toward_good,False
baseline[good=above],baseline/4,1,21,bad,toward_bad,False
baseline[good=above],baseline/4,2,21,bad,toward_bad,False
baseline[good=above],baseline/4,3,21,bad,toward_bad,False
baseline[good=above],baseline/4,4,21,bad,toward_good,False
baseline[good=above],baseline/4,5,21,bad,toward_good,False
baseline[good=above],baseline/4,6,21,bad,toward_bad,False
baseline[good=above],baseline/4,7,21,bad,toward_good,False
baseline[good=above],baseline/4,8,21,bad,toward_bad,False
baseline[good=above],baseline/4,9,21,bad,toward_good,False
baseline[good=above],baseline/4,10,21,bad,toward_good,False
baseline[good=above],baseline/4,11,21,bad,toward_bad,False
baseline[good=above],baseline/4,12,21,bad,toward_bad,False
baseline[good=above],baseline/4,13,21,bad,toward_bad,False
baseline[good=above],baseline/4,14,21,bad,toward_bad,False
baseline[good=above],baseline/4,15,21,bad,toward_good,False
baseline[good=above],baseline/4,16,21,bad,toward_good,False
baseline[good=above],baseline/4,17,21,bad,toward_bad,False
baseline[good=above],baseline/4,18,21,bad,toward_good,False
baseline[good=above],baseline/4,19,21,bad,toward_good,False
baseline[good=above],baseline/4,20,21,bad,,True
baseline[good=below],baseline/4,0,21,good,toward_bad,False
baseline[good=below],baseline/4,1,21,good,toward_good,False
baseline[good=below],baseline/4,2,21,good,toward_good,False
baseline[good=below],baseline/4,3,21,good,toward_good,False
baseline[good=below],baseline/4,4,21,good,toward_bad,False
baseline[good=below],baseline/4,5,21,good,toward_bad,False
baseline[good=below],baseline/4,6,21,good,toward_good,False
baseline[good=below],baseline/4,7,21,good,toward_bad,False
baseline[good=below],baseline/4,8,21,good,toward_good,False
baseline[good=below],baseline/4,9,21,good,toward_bad,False
baseline[good=below],baseline/4,10,21,good,toward_bad,False
baseline[good=below],baseline/4,11,21,good,toward_good,False
baseline[good=below],baseline/4,12,21,good,toward_good,False
baseline[good=below],baseline/4,13,21,good,toward_good,False
