group,side,metric,p,k,n_steps,ci_lo,ci_hi
above_good,good,hazard P(stop | side),0.10495049504950495,53.0,505.0,0.0871980400551829,0.1303386972103155
above_good,good,"hazard P(stop | side), K>=2",0.08502024291497975,42.0,494.0,,
above_good,bad,hazard P(stop | side),0.0874751491053678,44.0,503.0,0.07095621796222175,0.10978926389183921
above_good,bad,"hazard P(stop | side), K>=2",0.07272727272727272,36.0,495.0,,
baseline[good=above],good,hazard P(stop | side),0.10121457489878542,50.0,494.0,0.08460173750536656,0.1237456763666441
baseline[good=above],good,"hazard P(stop | side), K>=2",0.08641975308641975,42.0,486.0,,
baseline[good=above],bad,hazard P(stop | side),0.10473815461346633,42.0,401.0,0.09130434782608696,0.12209467494714588
baseline[good=above],bad,"hazard P(stop | side), K>=2",0.09798994974874371,39.0,398.0,,
baseline[good=below],good,hazard P(stop | side),0.10473815461346633,42.0,401.0,0.09130434782608696,0.12209467494714588
baseline[good=below],good,"hazard P(stop | side), K>=2",0.09798994974874371,39.0,398.0,,
baseline[good=below],bad,hazard P(stop | side),0.10121457489878542,50.0,494.0,0.08460173750536656,0.1237456763666441
baseline[good=below],bad,"hazard P(stop | side), K>=2",0.08641975308641975,42.0,486.0,,
below_good,good,hazard P(stop | side),0.13114754098360656,48.0,366.0,0.10454278423925943,0.16942183081189421
below_good,good,"hazard P(stop | side), K>=2",0.09659090909090909,34.0,352.0,,
below_good,bad,hazard P(stop | side),0.08108108108108109,45.0,555.0,0.06666389351081531,0.10166706420284245
below_good,bad,"hazard P(stop | side), K>=2",0.07103825136612021,39.0,549.0,,
above_good,both,hazard(good) - hazard(bad),0.017475345944137147,,,,
above_good,both,hazard ratio good/bad,1.1997749774977495,,,,
baseline[good=above],both,hazard(good) - hazard(bad),-0.0035235797146809106,,,,
baseline[good=above],both,hazard ratio good/bad,0.9663582032003084,,,,
baseline[good=below],both,hazard(good) - hazard(bad),0.0035235797146809106,,,,
baseline[good=below],both,hazard ratio good/bad,1.0348129675810473,,,,
below_good,both,hazard(good) - hazard(bad),0.05006645990252548,,,,
below_good,both,hazard ratio good/bad,1.6174863387978142,,,,
