group,side,metric,p,k,n_steps,n_rollouts,ci_lo,ci_hi
above_good,bad,P(toward_good | on bad side),0.5686274509803921,261.0,459.0,46.0,0.5273486027235293,0.609817137074916
above_good,good,P(toward_bad | on good side),0.577433628318584,261.0,452.0,50.0,0.5432083098326753,0.618200841009211
baseline[good=above],bad,P(toward_good | on bad side),0.5013927576601671,180.0,359.0,40.0,0.4675658783783784,0.5333522727272727
baseline[good=above],good,P(toward_bad | on good side),0.5247747747747747,233.0,444.0,43.0,0.4971329408118996,0.55179715920995
baseline[good=below],bad,P(toward_good | on bad side),0.5247747747747747,233.0,444.0,43.0,0.4971329408118996,0.55179715920995
baseline[good=below],good,P(toward_bad | on good side),0.5013927576601671,180.0,359.0,40.0,0.4675658783783784,0.5333522727272727
below_good,bad,P(toward_good | on bad side),0.6039215686274509,308.0,510.0,44.0,0.5695649373150772,0.638761659561896
below_good,good,P(toward_bad | on good side),0.5628930817610063,179.0,318.0,47.0,0.5120595683575375,0.6258116968266457
above_good,both,asymmetry: P(toward good|bad) - P(toward bad|good),-0.00880617733819189,,,,,
baseline[good=above],both,asymmetry: P(toward good|bad) - P(toward bad|good),-0.023382017114607634,,,,,
baseline[good=below],both,asymmetry: P(toward good|bad) - P(toward bad|good),0.023382017114607634,,,,,
below_good,both,asymmetry: P(toward good|bad) - P(toward bad|good),0.04102848686644467,,,,,
