comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,31.0,11081.677419354839,11018.0,9.303305799825731,cell,,,,,,,,,,
above_good,incentive,good,57.0,10363.228070175439,10351.0,9.232475770102555,cell,,,,,,,,,,
above_good,baseline,bad,40.0,8870.175,8777.0,9.083602621648078,cell,,,,,,,,,,
above_good,baseline,good,28.0,8954.67857142857,8689.0,9.068729156764569,cell,,,,,,,,,,
below_good,incentive,bad,30.0,11093.366666666667,10928.0,9.294212558617842,cell,,,,,,,,,,
below_good,incentive,good,62.0,10155.983870967742,9905.0,9.204828833370712,cell,,,,,,,,,,
below_good,baseline,bad,28.0,8954.67857142857,8689.0,9.068729156764569,cell,,,,,,,,,,
below_good,baseline,good,40.0,8870.175,8777.0,9.083602621648078,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.07083002972317587,0.014873464883509158,0.05595656483966671,-0.07373175168658253,0.1743393474138228,31.0,57.0,40.0,28.0
above_good,,,,,,,length_interaction,tokens,718.4493491794001,-84.50357142857138,802.9529206079715,-280.513358143341,1861.9873177399122,31.0,57.0,40.0,28.0
below_good,,,,,,,length_interaction,logL,0.08938372524712968,-0.014873464883509158,0.10425719013063883,-0.0272673685930358,0.24616170075029756,30.0,62.0,28.0,40.0
below_good,,,,,,,length_interaction,tokens,937.3827956989244,84.50357142857138,852.879224270353,-385.6173617511532,2072.4114900153577,30.0,62.0,28.0,40.0
