group,value,cond,n,p_cross_to_good,ci_good,p_cross_to_bad,ci_bad,asymmetry
all,,above_good,97,0.26804123711340205,"(0.18997431720820318, 0.36378127572169866)",0.0,"(0.0, 0.03809538920445529)",0.26804123711340205
all,,below_good,97,0.09278350515463918,"(0.04958265664341581, 0.16701049538907872)",0.020618556701030927,"(0.005672566204243077, 0.07208899251755425)",0.07216494845360825
all,,pooled,194,0.18041237113402062,"(0.13267669896915685, 0.2405592635382228)",0.010309278350515464,"(0.002831684492960438, 0.03680406451028256)",0.17010309278350516
restates_bet,True,above_good,97,0.26804123711340205,"(0.18997431720820318, 0.36378127572169866)",0.0,"(0.0, 0.03809538920445529)",0.26804123711340205
restates_bet,True,below_good,97,0.09278350515463918,"(0.04958265664341581, 0.16701049538907872)",0.020618556701030927,"(0.005672566204243077, 0.07208899251755425)",0.07216494845360825
restates_bet,True,pooled,194,0.18041237113402062,"(0.13267669896915685, 0.2405592635382228)",0.010309278350515464,"(0.002831684492960438, 0.03680406451028256)",0.17010309278350516
resolves_to_ignore,True,above_good,94,0.2553191489361702,"(0.1779922418978549, 0.3518600908522227)",0.0,"(0.0, 0.03926346257624568)",0.2553191489361702
resolves_to_ignore,True,below_good,96,0.09375,"(0.050107540469390296, 0.1686549793620227)",0.020833333333333332,"(0.005731849710137296, 0.07280855829614466)",0.07291666666666667
resolves_to_ignore,True,pooled,190,0.1736842105263158,"(0.12642881010746768, 0.23387362239412127)",0.010526315789473684,"(0.0028913974277000867, 0.0375622513246833)",0.1631578947368421
explicit_aiming,True,above_good,47,0.44680851063829785,"(0.3141074747491131, 0.5875478626124176)",0.0,"(0.0, 0.0755601711983887)",0.44680851063829785
explicit_aiming,True,below_good,35,0.22857142857142856,"(0.120657367461791, 0.39017637780102)",0.02857142857142857,"(0.005061361365853357, 0.14533409093271313)",0.19999999999999998
explicit_aiming,True,pooled,82,0.35365853658536583,"(0.25885412674487723, 0.46156114976441426)",0.012195121951219513,"(0.00215593657096515, 0.06589498512667329)",0.3414634146341463
user_intent_reading,True,above_good,53,0.2830188679245283,"(0.17966135362950317, 0.4157054200010772)",0.0,"(0.0, 0.0675843044530766)",0.2830188679245283
user_intent_reading,True,below_good,58,0.08620689655172414,"(0.03738483193379337, 0.18643861377265666)",0.034482758620689655,"(0.009507728866485682, 0.11729364755327057)",0.05172413793103449
user_intent_reading,True,pooled,111,0.18018018018018017,"(0.11977496148864882, 0.26198217181496236)",0.018018018018018018,"(0.004955074866777288, 0.06332680208373541)",0.16216216216216214
threshold_as_evidence,True,above_good,97,0.26804123711340205,"(0.18997431720820318, 0.36378127572169866)",0.0,"(0.0, 0.03809538920445529)",0.26804123711340205
threshold_as_evidence,True,below_good,97,0.09278350515463918,"(0.04958265664341581, 0.16701049538907872)",0.020618556701030927,"(0.005672566204243077, 0.07208899251755425)",0.07216494845360825
threshold_as_evidence,True,pooled,194,0.18041237113402062,"(0.13267669896915685, 0.2405592635382228)",0.010309278350515464,"(0.002831684492960438, 0.03680406451028256)",0.17010309278350516
suspicion,True,above_good,66,0.21212121212121213,"(0.13077866875683972, 0.3251329942062081)",0.0,"(0.0, 0.05500446725160935)",0.21212121212121213
suspicion,True,below_good,78,0.10256410256410256,"(0.05289271527803498, 0.18954633772190635)",0.02564102564102564,"(0.007059945446585375, 0.08875440813398978)",0.07692307692307693
suspicion,True,pooled,144,0.1527777777777778,"(0.10310810700831431, 0.2204922869268163)",0.013888888888888888,"(0.003817054691554885, 0.04922349681762791)",0.1388888888888889
restates_bet,False,above_good,0,,"(nan, nan)",,"(nan, nan)",
restates_bet,False,below_good,0,,"(nan, nan)",,"(nan, nan)",
restates_bet,False,pooled,0,,"(nan, nan)",,"(nan, nan)",
resolves_to_ignore,False,above_good,3,0.6666666666666666,"(0.20765495512648788, 0.9385096847238393)",0.0,"(0.0, 0.5615060804490177)",0.6666666666666666
resolves_to_ignore,False,below_good,1,0.0,"(0.0, 0.7934567085261071)",0.0,"(0.0, 0.7934567085261071)",0.0
resolves_to_ignore,False,pooled,4,0.5,"(0.15003570882017145, 0.8499642911798285)",0.0,"(0.0, 0.48990002040399916)",0.5
explicit_aiming,False,above_good,50,0.1,"(0.0434751239915711, 0.21360490334788393)",0.0,"(0.0, 0.07135003417431873)",0.1
explicit_aiming,False,below_good,62,0.016129032258064516,"(0.002852793692240394, 0.0858692300738892)",0.016129032258064516,"(0.002852793692240394, 0.0858692300738892)",0.0
