group,value,n_above,n_below,p_above_given_above_good,ci_a,p_above_given_below_good,ci_b,diff,diff_ci,p_fav,p_fav_ci,bias
all,,99,100,0.8585858585858586,"(0.7765261713095186, 0.9138559308748114)",0.24,"(0.16691211265459965, 0.3323251872329213)",0.6185858585858586,"(0.5080808080808081, 0.7289924242424242)",0.8090452261306532,"(0.7487849807393183, 0.857599508438444)",0.6180904522613064
restates_bet,present,99,100,0.8585858585858586,"(0.7765261713095186, 0.9138559308748114)",0.24,"(0.16691211265459965, 0.3323251872329213)",0.6185858585858586,"(0.5080808080808081, 0.7289924242424242)",0.8090452261306532,"(0.7487849807393183, 0.857599508438444)",0.6180904522613064
restates_bet,absent,0,0,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",
resolves_to_ignore,present,95,99,0.8526315789473684,"(0.7677122266932916, 0.9101400136589487)",0.24242424242424243,"(0.16866173936129494, 0.33542999005559476)",0.610207336523126,"(0.4982349813928762, 0.7225943646996278)",0.8041237113402062,"(0.7426008567734963, 0.8538358885823845)",0.6082474226804124
resolves_to_ignore,absent,4,1,1.0,"(0.5100999795960008, 1.0)",0.0,"(0.0, 0.7934567085261071)",1.0,"(1.0, 1.0)",1.0,"(0.565508505247919, 1.0)",1.0
explicit_aiming,present,48,36,0.9791666666666666,"(0.8910053086246883, 0.9963129840206003)",0.1111111111111111,"(0.044065689087418335, 0.25315129015036325)",0.8680555555555556,"(0.7567708333333333, 0.9722222222222222)",0.9404761904761905,"(0.8681156389946401, 0.974309817736567)",0.8809523809523809
explicit_aiming,absent,51,64,0.7450980392156863,"(0.6113145589385129, 0.8445437675873361)",0.3125,"(0.2123090950226574, 0.4339256635915262)",0.4325980392156863,"(0.26400122549019606, 0.5895526960784309)",0.7130434782608696,"(0.6245381226129869, 0.7877754106952148)",0.4260869565217391
user_intent_reading,present,54,59,0.8148148148148148,"(0.6916379770862062, 0.8961742549405703)",0.288135593220339,"(0.18836347285820826, 0.41381088298250873)",0.5266792215944758,"(0.3662900188323917, 0.6808301946013808)",0.7610619469026548,"(0.674680392680986, 0.8302767458724059)",0.5221238938053097
user_intent_reading,absent,45,41,0.9111111111111111,"(0.792661488316343, 0.9648894518657969)",0.17073170731707318,"(0.08525143995273898, 0.31262909954629764)",0.7403794037940379,"(0.598319783197832, 0.8802168021680217)",0.872093023255814,"(0.7853103414868934, 0.9270545318012048)",0.7441860465116279
threshold_as_evidence,present,99,100,0.8585858585858586,"(0.7765261713095186, 0.9138559308748114)",0.24,"(0.16691211265459965, 0.3323251872329213)",0.6185858585858586,"(0.5080808080808081, 0.7289924242424242)",0.8090452261306532,"(0.7487849807393183, 0.857599508438444)",0.6180904522613064
threshold_as_evidence,absent,0,0,,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",,"(nan, nan)",
suspicion,present,66,81,0.7878787878787878,"(0.6748670057937919, 0.8692213312431603)",0.2839506172839506,"(0.19728595019327252, 0.3901805756619682)",0.5039281705948373,"(0.37091750841750837, 0.6347081930415263)",0.7482993197278912,"(0.672428734307093, 0.8115226425014267)",0.4965986394557824
suspicion,absent,33,19,1.0,"(0.8957265699643882, 1.0)",0.05263157894736842,"(0.00935175249052995, 0.24639215336545212)",0.9473684210526316,"(0.8421052631578947, 1.0)",0.9807692307692307,"(0.8987925373197556, 0.9965972795909344)",0.9615384615384615
disclosure=admits,admits,6,0,1.0,"(0.6096569663469354, 1.0)",,"(nan, nan)",,"(nan, nan)",1.0,"(0.6096569663469354, 1.0)",1.0
disclosure=mentions,mentions,30,26,0.9,"(0.7437855868473338, 0.9654007400402839)",0.19230769230769232,"(0.08506935771788268, 0.3787663615465)",0.7076923076923077,"(0.5025641025641026, 0.8897435897435897)",0.8571428571428571,"(0.7426383257914847, 0.9257929995741472)",0.7142857142857142
disclosure=no_mention,no_mention,53,61,0.9056603773584906,"(0.7974602432629857, 0.9590279625581032)",0.29508196721311475,"(0.19554865403985322, 0.41889639358389447)",0.6105784101453758,"(0.469532941540365, 0.7417878131766159)",0.7982456140350878,"(0.7154154623254457, 0.8616303347445194)",0.5964912280701755
disclosure=denies,denies,10,13,0.4,"(0.16817758120350967, 0.6873304525498135)",0.07692307692307693,"(0.013710066379696325, 0.3331453392824736)",0.3230769230769231,"(-0.008269230769230765, 0.6461538461538462)",0.6956521739130435,"(0.4913387093942739, 0.8439617197902755)",0.3913043478260869
any_bet_revision,present,64,70,0.9375,"(0.8500230335750312, 0.9754291963252072)",0.2,"(0.12304627802949916, 0.3081686468908709)",0.7375,"(0.6232142857142857, 0.8401785714285714)",0.8656716417910447,"(0.797647429758468, 0.9133135573455702)",0.7313432835820894
any_bet_revision,absent,35,30,0.7142857142857143,"(0.5494475193017891, 0.8367363660170443)",0.3333333333333333,"(0.19230295526846194, 0.5122027418616973)",0.380952380952381,"(0.1523809523809524, 0.5952380952380953)",0.6923076923076923,"(0.5720212794770566, 0.7911312329572853)",0.3846153846153846
