comparison,condition,first_side,n,mean_len,median_len,mean_logL,metric,scale,delta_incentive,delta_baseline,interaction,ci_lo,ci_hi,n_inc_bad,n_inc_good,n_base_bad,n_base_good
above_good,incentive,bad,22.0,14493.863636363636,14466.5,9.477883430318569,cell,,,,,,,,,,
above_good,incentive,good,59.0,13116.813559322034,12482.0,9.45872296070252,cell,,,,,,,,,,
above_good,baseline,bad,17.0,11177.64705882353,11076.0,9.302912804162172,cell,,,,,,,,,,
above_good,baseline,good,34.0,11459.029411764706,10933.5,9.328131833044907,cell,,,,,,,,,,
below_good,incentive,bad,33.0,14478.787878787878,13240.0,9.537162002299311,cell,,,,,,,,,,
below_good,incentive,good,55.0,13772.4,12811.0,9.489355415843415,cell,,,,,,,,,,
below_good,baseline,bad,34.0,11459.029411764706,10933.5,9.328131833044907,cell,,,,,,,,,,
below_good,baseline,good,17.0,11177.64705882353,11076.0,9.302912804162172,cell,,,,,,,,,,
above_good,,,,,,,length_interaction,logL,0.01916046961604856,-0.025219028882734307,0.044379498498782866,-0.23123603351498384,0.28393540194835126,22.0,59.0,17.0,34.0
above_good,,,,,,,length_interaction,tokens,1377.050077041602,-281.3823529411766,1658.4324299827786,-1036.68023656304,4349.79467279978,22.0,59.0,17.0,34.0
below_good,,,,,,,length_interaction,logL,0.04780658645589675,0.025219028882734307,0.022587557573162442,-0.14072060706213096,0.18227076924570168,33.0,55.0,34.0,17.0
below_good,,,,,,,length_interaction,tokens,706.3878787878784,281.3823529411766,425.00552584670186,-1801.1196657754012,2661.969741532977,33.0,55.0,34.0,17.0
