group,rollout,t,K,side,move,is_last
baseline[good=above],baseline/0,0,1,good,,True
baseline[good=below],baseline/0,0,1,bad,,True
baseline[good=above],baseline/2,0,66,good,toward_good,False
baseline[good=above],baseline/2,1,66,good,toward_good,False
baseline[good=above],baseline/2,2,66,good,toward_bad,False
baseline[good=above],baseline/2,3,66,good,toward_good,False
baseline[good=above],baseline/2,4,66,good,toward_bad,False
baseline[good=above],baseline/2,5,66,good,toward_good,False
baseline[good=above],baseline/2,6,66,good,toward_bad,False
baseline[good=above],baseline/2,7,66,good,toward_good,False
baseline[good=above],baseline/2,8,66,good,toward_bad,False
baseline[good=above],baseline/2,9,66,good,toward_good,False
baseline[good=above],baseline/2,10,66,good,toward_bad,False
baseline[good=above],baseline/2,11,66,good,toward_good,False
baseline[good=above],baseline/2,12,66,good,toward_bad,False
baseline[good=above],baseline/2,13,66,good,toward_good,False
baseline[good=above],baseline/2,14,66,good,toward_good,False
baseline[good=above],baseline/2,15,66,good,toward_bad,False
baseline[good=above],baseline/2,16,66,good,toward_good,False
baseline[good=above],baseline/2,17,66,good,toward_bad,False
baseline[good=above],baseline/2,18,66,good,toward_good,False
baseline[good=above],baseline/2,19,66,good,toward_bad,False
baseline[good=above],baseline/2,20,66,good,toward_good,False
baseline[good=above],baseline/2,21,66,good,toward_good,False
baseline[good=above],baseline/2,22,66,good,toward_good,False
baseline[good=above],baseline/2,23,66,good,toward_bad,False
baseline[good=above],baseline/2,24,66,good,toward_bad,False
baseline[good=above],baseline/2,25,66,good,toward_bad,False
baseline[good=above],baseline/2,26,66,good,toward_bad,False
baseline[good=above],baseline/2,27,66,good,toward_bad,False
baseline[good=above],baseline/2,28,66,good,toward_good,False
baseline[good=above],baseline/2,29,66,good,toward_bad,False
baseline[good=above],baseline/2,30,66,good,toward_good,False
baseline[good=above],baseline/2,31,66,good,toward_good,False
baseline[good=above],baseline/2,32,66,good,toward_bad,False
baseline[good=above],baseline/2,33,66,good,toward_good,False
baseline[good=above],baseline/2,34,66,good,toward_good,False
baseline[good=above],baseline/2,35,66,good,toward_bad,False
baseline[good=above],baseline/2,36,66,good,toward_bad,False
baseline[good=above],baseline/2,37,66,good,toward_good,False
baseline[good=above],baseline/2,38,66,good,toward_good,False
baseline[good=above],baseline/2,39,66,good,same,False
baseline[good=above],baseline/2,40,66,good,toward_bad,False
baseline[good=above],baseline/2,41,66,good,toward_good,False
baseline[good=above],baseline/2,42,66,good,toward_bad,False
baseline[good=above],baseline/2,43,66,good,toward_good,False
baseline[good=above],baseline/2,44,66,good,toward_good,False
baseline[good=above],baseline/2,45,66,good,toward_bad,False
baseline[good=above],baseline/2,46,66,good,toward_bad,False
baseline[good=above],baseline/2,47,66,good,toward_good,False
baseline[good=above],baseline/2,48,66,good,toward_good,False
baseline[good=above],baseline/2,49,66,good,toward_bad,False
baseline[good=above],baseline/2,50,66,good,toward_bad,False
baseline[good=above],baseline/2,51,66,good,toward_good,False
baseline[good=above],baseline/2,52,66,good,toward_bad,False
baseline[good=above],baseline/2,53,66,good,toward_good,False
baseline[good=above],baseline/2,54,66,good,toward_bad,False
baseline[good=above],baseline/2,55,66,good,toward_bad,False
baseline[good=above],baseline/2,56,66,good,toward_good,False
baseline[good=above],baseline/2,57,66,good,toward_good,False
baseline[good=above],baseline/2,58,66,good,toward_bad,False
baseline[good=above],baseline/2,59,66,good,toward_bad,False
baseline[good=above],baseline/2,60,66,good,toward_good,False
baseline[good=above],baseline/2,61,66,good,toward_bad,False
baseline[good=above],baseline/2,62,66,good,toward_good,False
baseline[good=above],baseline/2,63,66,good,toward_good,False
baseline[good=above],baseline/2,64,66,good,toward_bad,False
baseline[good=above],baseline/2,65,66,good,,True
baseline[good=below],baseline/2,0,66,bad,toward_bad,False
baseline[good=below],baseline/2,1,66,bad,toward_bad,False
baseline[good=below],baseline/2,2,66,bad,toward_good,False
baseline[good=below],baseline/2,3,66,bad,toward_bad,False
baseline[good=below],baseline/2,4,66,bad,toward_good,False
baseline[good=below],baseline/2,5,66,bad,toward_bad,False
baseline[good=below],baseline/2,6,66,bad,toward_good,False
baseline[good=below],baseline/2,7,66,bad,toward_bad,False
baseline[good=below],baseline/2,8,66,bad,toward_good,False
baseline[good=below],baseline/2,9,66,bad,toward_bad,False
baseline[good=below],baseline/2,10,66,bad,toward_good,False
baseline[good=below],baseline/2,11,66,bad,toward_bad,False
baseline[good=below],baseline/2,12,66,bad,toward_good,False
baseline[good=below],baseline/2,13,66,bad,toward_bad,False
baseline[good=below],baseline/2,14,66,bad,toward_bad,False
baseline[good=below],baseline/2,15,66,bad,toward_good,False
baseline[good=below],baseline/2,16,66,bad,toward_bad,False
